Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
850,0,1,0,1,3,0,26,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

860,0,1,0,1,3,0,26,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

870,0,1,0,1,3,0,26,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

880,0,1,0,1,3,0,26,10,26,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

890,0,1,1,1,3,0,26,10,27,4,4,0,0,2,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

900,0,1,2,1,2,0,27,9,27,4,4,0,0,3,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

910,0,1,2,1,2,0,27,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

920,0,1,2,1,2,0,27,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

930,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

940,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

950,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

960,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

970,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

980,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

990,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

1000,0,1,2,1,1,0,28,8,27,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

1010,0,1,2,1,2,0,27,8,28,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

1020,0,1,2,1,2,0,26,9,28,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

1030,0,1,2,1,2,0,26,9,28,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

1040,0,1,2,1,2,0,26,9,28,4,4,0,0,4,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

1050,0,1,2,1,3,1,24,9,29,5,5,0,0,4,10,14,11,10,0,35,5,0,0,0,0,3,0,1,1,0,0,0,0,0,

1060,0,1,2,1,3,1,24,9,29,5,5,0,0,4,10,14,11,10,0,35,5,0,0,0,0,3,0,1,1,0,0,0,0,0,

1070,0,2,2,1,3,1,23,10,29,5,5,0,0,4,10,14,11,10,0,35,5,0,0,0,0,3,0,1,1,0,0,0,0,0,

1080,0,2,2,1,4,1,22,9,30,5,5,0,0,5,10,14,11,10,0,35,5,0,0,0,0,3,0,1,1,0,0,0,0,0,

1090,0,2,2,1,4,1,22,9,30,5,5,0,0,5,10,14,11,10,0,35,5,0,0,0,0,3,0,1,1,0,0,0,0,0,

1100,0,2,2,1,4,1,22,9,30,5,5,0,0,5,10,14,11,10,0,35,5,0,0,0,0,3,0,1,1,0,0,0,0,0,

1110,0,2,2,1,4,2,21,9,30,6,6,0,0,5,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1120,0,3,2,1,4,2,21,8,30,6,6,0,0,6,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1130,0,3,2,1,4,2,21,8,30,6,6,0,0,6,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1140,0,3,2,1,4,2,20,9,30,6,6,0,0,6,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1150,0,3,2,1,5,2,19,9,31,6,6,0,0,6,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1160,0,3,2,1,5,2,19,9,31,6,6,0,0,6,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1170,1,3,2,1,5,2,19,9,31,6,6,0,0,6,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1180,1,3,2,1,5,2,19,8,31,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1190,1,3,2,1,6,2,18,8,32,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1200,1,3,2,1,6,2,17,9,32,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1210,1,3,2,1,6,2,17,9,32,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1220,1,3,2,1,6,2,17,9,32,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1230,1,3,2,1,7,2,16,9,33,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1240,1,3,2,1,9,2,14,9,35,6,6,0,0,7,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1250,1,4,2,1,10,2,13,8,36,6,6,0,0,8,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1260,1,4,2,1,10,2,13,8,36,6,6,0,0,8,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1270,1,4,2,1,10,2,13,8,36,6,6,0,0,8,10,14,12,10,0,34,6,0,0,1,0,3,0,1,1,0,0,0,0,0,

1280,1,4,2,1,11,3,11,8,37,7,7,0,0,8,11,14,12,10,0,33,7,0,0,2,0,3,0,1,1,0,0,0,0,0,

1290,1,4,2,1,11,4,11,8,37,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1300,1,4,2,1,11,4,11,8,37,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1310,1,4,2,1,12,4,8,10,38,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1320,1,4,2,1,12,4,8,10,38,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1330,1,4,2,1,13,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1340,1,4,2,1,13,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1350,1,4,2,1,13,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1360,1,4,2,1,13,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1370,1,4,2,1,13,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1380,1,4,2,1,13,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1390,1,4,2,1,12,4,7,10,39,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1400,1,4,2,1,13,4,8,10,40,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1410,1,4,2,1,13,4,9,10,40,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1420,1,4,2,1,13,4,9,10,40,8,8,0,0,8,12,14,12,10,0,32,8,0,0,2,1,3,0,1,1,0,0,0,0,0,

1430,1,4,2,1,13,5,8,10,40,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1440,1,4,2,1,14,5,7,10,41,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1450,1,4,2,1,15,5,6,10,42,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1460,1,4,2,1,15,5,6,10,42,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1470,1,4,2,1,16,5,5,10,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1480,1,4,2,1,16,5,5,10,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1490,1,4,2,1,16,5,5,10,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1500,1,4,2,1,16,5,5,10,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1510,1,4,2,1,15,5,5,10,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1520,1,4,2,1,15,5,5,11,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1530,1,4,2,1,15,5,5,11,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1540,1,4,2,1,15,5,5,11,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1550,1,4,2,1,14,4,5,12,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1560,1,4,2,1,14,4,6,12,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1570,1,5,2,1,14,4,6,12,43,9,9,0,0,8,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1580,1,5,2,1,13,4,7,11,43,9,9,0,0,9,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1590,1,5,2,1,13,4,7,12,43,9,9,0,0,9,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1600,1,5,2,1,13,4,7,12,43,9,9,0,0,9,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1610,1,5,2,1,13,3,7,12,43,9,9,0,0,9,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1620,1,5,2,2,13,3,8,12,43,9,9,0,0,9,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

1630,1,5,2,2,13,3,8,11,43,9,9,0,0,10,13,14,12,10,0,31,9,0,0,2,2,3,0,1,1,0,0,0,0,0,

