Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known

10600,24,24,25,24,0,1,47,1,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,
10700,24,24,25,24,0,0,48,1,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,

10800,24,24,25,24,0,0,48,1,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,
10900,24,24,25,24,0,0,49,1,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,

11000,24,24,25,24,0,0,49,1,65,42,42,0,0,97,33,37,35,37,2,4,19,0,25,
11100,25,24,25,24,0,0,49,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

11200,25,24,25,24,0,0,49,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
11300,25,24,25,24,0,0,49,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

11400,25,24,25,24,0,0,49,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
11500,25,24,25,24,0,0,49,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

11600,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
11700,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

11800,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
11900,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

